Disease,Description,Symptoms,Medicines
"Bladder Cancer	","Blood in urine, Painful or frequent urination, Back or pelvic pain, Urinary urgency, Unintended weight loss, Fatigue, Bone pain	","Surgery (Transurethral resection, Cystectomy), Immunotherapy (Checkpoint inhibitors), Chemotherapy, Radiation therapy",
"Liver Cancer	","Jaundice, Abdominal pain or swelling, Unintended weight loss, Loss of appetite, Fatigue, Weakness, Nausea and vomiting, White chalky stools	","Surgery (Hepatectomy), Liver transplant, Ablation therapy, Embolization, Chemotherapy, Targeted therapy (Sorafenib)",
"Esophageal Cancer	","Difficulty swallowing (dysphagia), Pain or discomfort in chest or throat, Unintended weight loss, Chronic cough, Hoarseness, Heartburn	","Surgery (Esophagectomy), Chemotherapy, Radiation therapy, Immunotherapy (Checkpoint inhibitors), Targeted therapy (EGFR inhibitors)",
Coronary Artery Disease (CAD),"Narrowing or blockage of coronary arteries, leading to reduced blood flow to the heart muscle","Chest pain (angina), Shortness of breath, Fatigue, Weakness, Dizziness, Nausea","Aspirin, Statins, Beta-blockers, ACE inhibitors, Calcium channel blockers"
Myocardial Infarction (Heart Attack),Death of heart muscle tissue due to blocked blood flow to the heart,"Chest pain or discomfort (often radiating to arm, jaw, back, or neck), Shortness of breath, Nausea, Vomiting, Sweating","Aspirin, Thrombolytics, Beta-blockers, ACE inhibitors, Statins"
Heart Failure,Inability of the heart to pump blood effectively,"Shortness of breath (especially during physical exertion or when lying flat), Fatigue, Swelling (edema) in legs, ankles, or abdomen, Rapid or irregular heartbeat","Diuretics, ACE inhibitors, Beta-blockers, Aldosterone antagonists, Angiotensin receptor blockers"
Hypertension (High Blood Pressure),Persistent elevation of blood pressure above normal levels,"Headaches, Shortness of breath, Nosebleeds, Flushing, Dizziness, Chest pain (in severe cases)","Diuretics, ACE inhibitors, Angiotensin II receptor blockers, Calcium channel blockers, Beta-blockers"
Arrhythmia,Irregular heart rhythm or heartbeat,"Palpitations (fluttering or pounding sensation in chest), Chest discomfort, Shortness of breath, Dizziness, Fainting (syncope)","Antiarrhythmic medications, Beta-blockers, Calcium channel blockers, Anticoagulants"
Peripheral Artery Disease (PAD),Narrowing or blockage of arteries supplying blood to extremities,"Painful cramping in hip, thigh, or calf muscles after physical activity (claudication), Numbness or weakness in affected limb, Coldness in lower leg or foot","Antiplatelet agents (e.g., Aspirin), Statins, Medications to control blood pressure"
Atherosclerosis,Buildup of plaque (fatty deposits) in arteries,"Chest pain (angina), Shortness of breath, Weakness, Fatigue, Numbness or weakness in limbs, Confusion, Vision problems","Statins, Antiplatelet agents (e.g., Aspirin), Beta-blockers, ACE inhibitors, Calcium channel blockers"
Cardiomyopathy,"Disease of the heart muscle, leading to weakened heart function","Shortness of breath, Fatigue, Swelling in legs, ankles, or abdomen, Irregular heartbeats, Dizziness or lightheadedness, Chest pain or pressure","ACE inhibitors, Beta-blockers, Diuretics, Anticoagulants, Antiarrhythmic medications"
Atrial Fibrillation,Irregular and often rapid heartbeat originating in the atria,"Irregular heartbeats (palpitations), Rapid heartbeat (tachycardia), Weakness, Fatigue, Shortness of breath, Chest pain or discomfort","Anticoagulants, Rate control medications (Beta-blockers, Calcium channel blockers), Rhythm control medications (Amiodarone, Flecainide)"
Valvular Heart Disease,"Dysfunction or damage to heart valves, affecting blood flow","Shortness of breath, Fatigue, Irregular heartbeat, Swelling in legs or abdomen, Chest pain or pressure, Dizziness or fainting episodes","Diuretics, ACE inhibitors, Beta-blockers, Anticoagulants, Heart valve repair or replacement surgery"
Endocarditis,Inflammation of the inner lining of the heart chambers and valves,"Fever, Chills, Fatigue, Weakness, Shortness of breath, Chest pain, Palpitations, Small red or purple spots on skin (petechiae)","Antibiotics, Anticoagulants, Surgery (in severe cases)"
Pericarditis,Inflammation of the pericardium (the sac surrounding the heart),"Chest pain (sharp, stabbing, or dull), Shortness of breath, Cough, Fever, Fatigue, Swelling in abdomen or legs, Irregular heartbeat","Nonsteroidal anti-inflammatory drugs (NSAIDs), Colchicine, Corticosteroids"
"Congenital Heart Disease	",Structural heart defects present at birth,"Cyanosis (bluish tint to skin, lips, or nails), Shortness of breath, Poor feeding or growth (in infants), Fatigue, Swelling in extremities","Surgical repair, Medications to control symptoms (e.g., Diuretics, ACE inhibitors)"
Rheumatic Heart Disease,"Heart damage caused by rheumatic fever, resulting from untreated strep throat","Fatigue, Chest pain, Shortness of breath, Palpitations, Swollen or tender joints, Fever, Skin rash","Antibiotics (to treat strep throat), Anti-inflammatory medications, Surgery (in severe cases)"
Dengue Fever                         ,A mosquito-borne viral infection causing flu-like symptoms.,"High fever, severe headache, pain behind the eyes, joint and muscle pain, rash","Paracetamol, IV fluids"
Tuberculosis (TB)       ,"A bacterial infection affecting the lungs, causing coughing and fatigue.","Persistent cough, chest pain, coughing up blood, fatigue, weight loss","Rifampin, Isoniazid, Pyrazinamide, Ethambutol"
 Cholera                          ,A bacterial infection causing severe diarrhea and dehydration. ,"Severe diarrhea, vomiting, dehydration, muscle cramps","Doxycycline, Azithromycin, Ciprofloxacin"
 Malaria                  ,A mosquito-borne parasitic disease causing fever and flu-like symptoms. ,"Fever, chills, sweating, headache, nausea, vomiting","Chloroquine, Artemisinin-based combination therapy (ACT), Mefloquine"
Typhoid Fever           ,"A bacterial infection causing high fever, stomach pain, and weakness.  ","High fever, stomach pain, weakness, headache, rash","Ciprofloxacin, Azithromycin, Ceftriaxone"
 Hepatitis B            ,"A viral infection affecting the liver, transmitted through bodily fluids.","Jaundice (yellowing of the skin and eyes), fatigue, abdominal pain, nausea, joint pain","Tenofovir, Entecavir, Interferon"
 Leptospirosis            ,A bacterial infection transmitted through contaminated water or soil.  ,"High fever, headache, muscle aches, vomiting, jaundice","Doxycycline, Penicillin, Ceftriaxone"
Rabies                  ,"A viral infection transmitted through animal bites, affecting the nervous system.","Fever, headache, nausea, confusion, hallucinations, paralysis","Rabies vaccine, Rabies immune globulin (RIG)"
Influenza                 ,A viral infection causing respiratory symptoms such as fever and cough.,"Fever, cough, sore throat, runny or stuffy nose, body aches","Oseltamivir (Tamiflu), Zanamivir (Relenza)"
HIV/AIDS                ,"A viral infection compromising the immune system, transmitted through bodily fluids.","Fever, fatigue, swollen lymph nodes, sore throat, rash, weight loss, night sweats",Antiretroviral therapy (ART)
Measles                              ,A highly contagious viral infection causing fever and rash. ,"Fever, cough, runny nose, sore throat, inflamed eyes, rash",Vitamin A supplementation
Pneumonia                     ,"An infection of the lungs, commonly caused by bacteria or viruses. ","Cough with phlegm, fever, chills, shortness of breath, chest pain, fatigue","Amoxicillin, Azithromycin, Ceftriaxone"
Chikungunya             ,"A viral infection transmitted by mosquitoes, causing joint pain and fever.","Fever, joint pain, headache, muscle pain, rash","Paracetamol, Fluids for hydration"
Anthrax                ,"A bacterial infection that can affect the skin, lungs, or gastrointestinal tract.","Fever, chills, cough, chest discomfort, nausea, vomiting, abdominal pain","Ciprofloxacin, Doxycycline"
Zika Virus               ,"A viral infection transmitted by mosquitoes, linked to birth defects.  ","Fever, rash, joint pain, conjunctivitis (red eyes), muscle pain",Supportive care
 Rotavirus Infection     ,"A viral infection causing severe diarrhea, primarily affecting children. ","Severe diarrhea, vomiting, fever, abdominal pain","Oral rehydration solution (ORS), Rotavirus vaccine"
Norovirus               ,"A viral infection leading to gastroenteritis, characterized by vomiting and diarrhea.","Nausea, vomiting, diarrhea, stomach pain, fever, headache","Supportive care, Fluids for hydration"
" Hand, Foot, and Mouth Disease  ","A viral infection common in children, causing fever and sores on the hands, feet, and mouth.","Fever, sore throat, rash on hands, feet, and mouth, loss of appetite","Supportive care, Pain relievers"
Tetanus                             ,A bacterial infection leading to muscle stiffness and spasms.,"Stiffness in jaw muscles (lockjaw), stiffness in neck muscles, difficulty swallowing, muscle stiffness and spasms","Tetanus vaccine, Tetanus immune globulin (TIG)"
Pertussis (Whooping Cough)           ,A bacterial infection causing severe coughing fits.           ,"Severe coughing fits, whooping sound when coughing, vomiting after coughing","Azithromycin, Clarithromycin"
Conjunctivitis (Pink Eye)      ,"An inflammation of the eye, commonly caused by viruses or bacteria.","Redness in the white of the eye or inner eyelid, increased tearing, itching, burning sensation in the eyes","Antibiotic eye drops or ointments, Antihistamine eye drops"
Scabies                              ,A parasitic infection causing intense itching and skin rash. ,"Intense itching, rash (often between fingers, wrists, elbows, or knees), sores or crusts from scratching","Permethrin cream, Antihistamines"
Lyme Disease           ,"A bacterial infection transmitted by ticks, causing rash and flu-like symptoms.","Rash (bull's-eye pattern), fever, chills, fatigue, muscle and joint aches","Doxycycline, Amoxicillin"
 Brucellosis           ," A bacterial infection transmitted from animals to humans, causing fever and joint pain.","Fever, sweats, fatigue, joint and muscle pain, headache, loss of appetite, swelling of the liver or spleen","Doxycycline, Rifampicin, Gentamicin"
Trachoma                ,"A bacterial infection of the eye, leading to blindness if left untreated.","Eye discharge, itchiness, irritation, blurred vision, sensitivity to light","Azithromycin, Tetracycline"
E. coli Infection                    ,A bacterial infection causing diarrhea and abdominal pain. ,"Diarrhea (often bloody), stomach cramps, nausea, vomiting, fever","Supportive care, Fluids for hydration"
Giardiasis               ,"A parasitic infection affecting the digestive system, causing diarrhea. ","Diarrhea, greasy stools, stomach cramps, bloating, nausea, dehydration","Metronidazole, Tinidazole"
Leprosy                     ,A chronic bacterial infection causing skin lesions and nerve damage.  ,"Skin lesions (discolored patches or nodules), numbness or loss of sensation in affected areas, muscle weakness","Rifampicin, Dapsone, Clofazimine"
Chickenpox            ,A highly contagious viral infection causing itchy rash and fever.,"Rash (itchy red spots that become blisters), fever, headache, fatigue","Acyclovir, Antihistamines"
Yellow Fever            ,"A viral infection transmitted by mosquitoes, causing fever and jaundice. ","Fever, headache, muscle aches, backache, loss of appetite, nausea, vomiting, jaundice","Yellow fever vaccine, Supportive care"
Zika Fever              ,"A viral infection transmitted by mosquitoes, usually mild with symptoms like fever and rash. ","Fever, rash, joint pain, conjunctivitis (red eyes), muscle pain","Supportive care, Pain relievers"
 Filariasis               ,"A parasitic infection transmitted by mosquitoes, causing swelling and skin changes.","Swelling of limbs (lymphedema), thickening of skin (elephantiasis), fever, chills, pain","Diethylcarbamazine (DEC), Ivermectin, Albendazole"
Leishmaniasis           ,"A parasitic infection transmitted by sandflies, affecting the skin and internal organs. ","Skin sores (ulcers), fever, weight loss, swollen spleen and liver, anemia","Sodium stibogluconate, Amphotericin B"
Q Fever                 ,"A bacterial infection typically transmitted from animals to humans, causing flu-like symptoms. ","High fever, headache, fatigue, muscle aches, nausea, vomiting, diarrhea","Doxycycline, Ciprofloxacin"
Dengue Hemorrhagic Fever   ,"A severe form of dengue fever, characterized by bleeding and plasma leakage. ","Symptoms of dengue fever, bleeding (nosebleeds, bleeding gums), abdominal pain, vomiting blood, liver enlargement, circulatory system failure","Fluid replacement therapy, Blood transfusion"
Avian Influenza (Bird Flu)   ,"A viral infection primarily affecting birds but can spread to humans, causing respiratory symptoms.","Fever, cough, sore throat, muscle aches, headache, difficulty breathing, pneumonia","Oseltamivir (Tamiflu), Zanamivir (Relenza)"
Rift Valley Fever        ,"A viral infection transmitted by mosquitoes or contact with infected animals, causing fever and flu-like symptoms. ","Fever, headache, muscle pain, joint pain, weakness, vomiting, red eyes, abdominal pain, liver damage"," Ribavirin, Vaccine for livestock"
West Nile Virus          ,"A viral infection transmitted by mosquitoes, causing fever and neurological symptoms.","Fever, headache, body aches, skin rash, swollen lymph nodes, nausea, vomiting, diarrhea, neurological symptoms","Supportive care, Pain relievers"
Chagas Disease         ,"A parasitic infection transmitted by triatomine bugs, leading to chronic heart and digestive problems. ","Swelling at the site of infection, fever, fatigue, body aches, rash, swollen glands, eyelid swelling, liver and spleen enlargement, irregular heartbeat, digestive problems","Benznidazole, Nifurtimox"
Valley Fever (Coccidioidomycosis)   ,"A fungal infection caused by inhaling spores, leading to flu-like symptoms and pneumonia.","Fatigue, cough, fever, shortness of breath, headache, night sweats, muscle aches, joint pain, rash","Fluconazole, Itraconazole, Amphotericin B"
Mumps                    ,A viral infection causing swelling of the salivary glands and flu-like symptoms.,"Fever, headache, muscle aches, swollen salivary glands (parotitis), fatigue","Supportive care, Pain relievers"
"Diabetes Mellitus	","Metabolic disorder characterized by high blood sugar levels	","Increased thirst, Frequent urination, Extreme hunger, Unintended weight loss, Fatigue, Blurred vision, Slow-healing sores or frequent infections	","Insulin therapy (multiple types), Oral antidiabetic medications (Metformin, Sulfonylureas), Blood sugar monitoring"
"Phenylketonuria (PKU)	","Inherited disorder causing inability to metabolize phenylalanine	","Intellectual disability, Developmental delays, Behavioral problems, Hyperactivity, Seizures, Skin rashes, Musty odor in urine, Eczema	","Low-protein diet (restricted phenylalanine intake), Phenylalanine-free formula, Medications to manage symptoms and complications"
Galactosemia,"Genetic disorder impairing ability to metabolize galactose	","Jaundice, Liver enlargement, Poor feeding, Vomiting, Diarrhea, Failure to thrive, Lethargy, Cataracts (if untreated)	","Galactose-free diet, Close monitoring and treatment of complications (if present)"
"Maple Syrup Urine Disease (MSUD)	","Genetic disorder affecting branched-chain amino acid metabolism	","Sweet-smelling urine, Poor feeding, Vomiting, Lethargy, Developmental delay, Neurological symptoms (seizures, tremors, coma), Maple syrup-like odor of sweat and urine	","Dietary restriction of branched-chain amino acids, Thiamine supplementation (in some cases)"
"Wilson Disease	","Inherited disorder causing copper accumulation in the liver and other organs	","Jaundice, Abdominal pain and swelling, Fatigue, Weakness, Loss of appetite, Nausea, Vomiting, Neurological symptoms (tremors, difficulty walking, speech problems)	","Chelating agents (D-penicillamine, Trientine), Zinc supplements (to prevent copper absorption), Liver transplant (in severe cases)"
Homocystinuria,"Genetic disorder affecting amino acid metabolism, leading to elevated homocysteine levels	","Intellectual disability, Eye problems (near-sightedness, dislocated lens), Skeletal abnormalities (tall stature, scoliosis), Blood clots, Heart problems, Stroke	","Vitamin B6 (Pyridoxine), Folic acid supplements, Vitamin B12 (Cobalamin), Dietary restriction of methionine and homocysteine-rich foods"
"Gaucher Disease	","Inherited disorder resulting from deficiency of enzyme glucocerebrosidase	","Enlarged spleen and liver, Anemia, Low platelet count, Bone pain and fractures, Easy bruising, Fatigue, Delayed growth and development	","Enzyme replacement therapy (Imiglucerase, Velaglucerase alfa, Taliglucerase alfa), Substrate reduction therapy (Miglustat)"
Fabry Disease,"X-linked inherited disorder causing deficiency of enzyme alpha-galactosidase A	","Pain and burning sensations in hands and feet (acroparesthesia), Skin lesions (angiokeratomas), Gastrointestinal symptoms, Corneal opacities, Heart and kidney problems	","Enzyme replacement therapy (Agalsidase alfa, Agalsidase beta), Pain management, Supportive care"
Pompe Disease,"Genetic disorder resulting from deficiency of enzyme acid alpha-glucosidase	","Muscle weakness (especially in legs, arms, and trunk), Poor muscle tone (hypotonia), Enlarged heart (cardiomegaly), Breathing difficulties, Delayed motor development	","Enzyme replacement therapy (Alglucosidase alfa), Respiratory support, Physical therapy, Occupational therapy"
Alkaptonuria,"Inherited disorder leading to accumulation of homogentisic acid in the body	","Dark urine that turns black on exposure to air, Joint stiffness and pain (due to deposition of homogentisic acid), Ochronosis (blue-black discoloration of connective tissues)	","Symptomatic relief (Pain management), Dietary restriction of tyrosine and phenylalanine"
"Alzheimer's Disease	","Progressive neurodegenerative disorder leading to memory loss and cognitive decline	","Memory loss (especially recent memories), Difficulty in problem-solving, Confusion, Changes in mood or personality, Difficulty completing familiar tasks	","Cholinesterase inhibitors (Donepezil, Rivastigmine), Memantine, Antipsychotics (for behavioral symptoms)"
"Parkinson's Disease	","Neurodegenerative disorder affecting movement and motor function	","Tremors (usually starting in hands), Slowed movement (bradykinesia), Muscle stiffness, Impaired balance and coordination, Speech changes, Rigid facial expression	","Levodopa/carbidopa, Dopamine agonists (Pramipexole, Ropinirole), MAO-B inhibitors, COMT inhibitors"
"Multiple Sclerosis	","Autoimmune disease affecting the central nervous system	","Fatigue, Numbness or weakness in limbs, Blurred or double vision, Tingling or pain in parts of the body, Impaired coordination or balance, Cognitive changes	","Corticosteroids (for acute exacerbations), Disease-modifying therapies (Interferons, Glatiramer acetate)"
Epilepsy,"Chronic disorder characterized by recurrent seizures	","Seizures (varying types and severity), Temporary confusion, Staring spells, Uncontrollable jerking movements, Loss of consciousness	","Antiepileptic drugs (Phenytoin, Carbamazepine, Valproic acid, Lamotrigine)"
Migraine,"Recurrent severe headaches often accompanied by nausea and sensitivity to light	","Throbbing or pulsating headache (often on one side), Nausea, Vomiting, Sensitivity to light, Sound, or smells, Visual disturbances (aura)	","Pain relievers (Ibuprofen, Acetaminophen), Triptans, Antiemetics, Preventive medications (Beta-blockers, Anticonvulsants)"
"Amyotrophic Lateral Sclerosis (ALS)	","Progressive neurodegenerative disease affecting nerve cells in the brain and spinal cord	","Muscle weakness (usually starting in limbs), Muscle twitching or cramping, Difficulty in speaking, Swallowing difficulties, Impaired motor function	","Riluzole, Edaravone, Symptomatic treatments (Baclofen, Diazepam for spasticity)"
"Huntington's Disease	","Inherited disorder causing progressive degeneration of nerve cells in the brain	","Involuntary jerking or writhing movements (chorea), Muscle problems (rigidity, slow movements), Cognitive decline, Behavioral changes, Difficulty swallowing	","Tetrabenazine, Antipsychotics (for behavioral symptoms), Antidepressants"
"Cerebral Palsy	","Permanent movement disorders resulting from brain damage before, during, or shortly after birth	","Abnormal muscle tone (spasticity, rigidity, or floppiness), Delayed development, Impaired coordination or balance, Speech and language difficulties	","Physical therapy, Occupational therapy, Muscle relaxants, Anticonvulsants"
Stroke,"Sudden interruption of blood supply to the brain, leading to brain damage	","Sudden numbness or weakness in face, arm, or leg (usually on one side), Sudden confusion, Trouble speaking or understanding, Sudden vision problems, Severe headache	","Thrombolytics (tPA), Anticoagulants, Antiplatelet agents, Statins, Rehabilitation therapy"
"Traumatic Brain Injury	","Brain damage caused by an external force such as a blow to the head	","Loss of consciousness, Headache, Nausea or vomiting, Dizziness or balance problems, Sensory changes (blurred vision, ringing in ears), Cognitive impairment	","Surgery (for severe cases), Rehabilitation therapy, Anticonvulsants, Antidepressants"
Asthma,"Chronic respiratory condition characterized by airway inflammation and bronchospasm	","Wheezing, Shortness of breath, Chest tightness or pain, Coughing (especially at night or early morning), Difficulty sleeping	","Short-acting beta-agonists (Albuterol), Inhaled corticosteroids (Fluticasone, Budesonide), Long-acting beta-agonists (Formoterol, Salmeterol)"
"Chronic Obstructive Pulmonary Disease (COPD)	","Progressive lung disease causing airflow limitation	","Shortness of breath (especially during physical activity), Chronic cough, Excessive sputum production, Wheezing, Chest tightness or pain	","Bronchodilators (Short-acting and Long-acting), Inhaled corticosteroids, Phosphodiesterase-4 inhibitors, Oxygen therapy, Pulmonary rehabilitation"
Pneumonia,"Inflammation of lung tissue caused by infection (bacterial, viral, or fungal)	","Fever, Chills, Cough (with phlegm production), Shortness of breath, Chest pain, Rapid heartbeat, Fatigue, Confusion	","Antibiotics (for bacterial pneumonia), Antiviral medications (for viral pneumonia), Antifungal medications (for fungal pneumonia), Oxygen therapy"
"Tuberculosis (TB)	","Infectious bacterial disease primarily affecting the lungs	","Persistent cough (usually with blood-tinged sputum), Weight loss, Fatigue, Fever, Night sweats, Loss of appetite, Chest pain, Shortness of breath	","Antibiotics (Isoniazid, Rifampicin, Ethambutol, Pyrazinamide), Directly Observed Therapy (DOT), Bacillus Calmette-Guérin (BCG) vaccine"
Influenza,"Viral infection causing respiratory illness, often seasonal	","Fever or feeling feverish/chills, Cough, Sore throat, Runny or stuffy nose, Muscle or body aches, Headaches, Fatigue	","Antiviral medications (Oseltamivir, Zanamivir, Peramivir), Symptomatic relief (Pain relievers, Decongestants, Cough suppressants)"
"Acute Respiratory Distress Syndrome (ARDS)	","Rapid onset of severe respiratory failure due to various underlying conditions	","Severe shortness of breath, Rapid breathing, Low blood oxygen levels, Confusion or disorientation, Extreme fatigue or weakness	","Mechanical ventilation, Oxygen therapy, Medications to treat underlying cause (e.g., Antibiotics, Antifungals)"
"Pulmonary Embolism	","Blockage of arteries in the lungs, usually by blood clots originating elsewhere	","Sudden shortness of breath, Chest pain (usually sharp and worsened by deep breaths or coughing), Rapid or irregular heartbeat, Coughing up blood, Sweating	","Anticoagulants (Heparin, Warfarin, Direct oral anticoagulants), Thrombolytics, Oxygen therapy, Surgery (in severe cases)"
"Cystic Fibrosis	","Genetic disorder causing thick, sticky mucus buildup in lungs and other organs	","Persistent cough with thick sputum, Wheezing, Shortness of breath, Recurrent lung infections (pneumonia), Poor growth or weight gain	","Airway clearance techniques (Chest physiotherapy, Percussion and vibration), Bronchodilators, Inhaled antibiotics, Mucolytics, Enzyme supplements"
Bronchiectasis,"Chronic lung condition characterized by damaged and widened airways	","Chronic cough with large amounts of sputum, Recurrent respiratory infections, Wheezing, Shortness of breath, Chest pain or tightness, Fatigue	","Antibiotics (for treating infections), Mucolytics, Bronchodilators, Chest physiotherapy, Surgical removal of damaged lung tissue"
"Respiratory Syncytial Virus (RSV) Infection	","Viral infection causing respiratory illness, particularly in infants and young children	","Runny nose, Decreased appetite, Coughing, Sneezing, Fever, Wheezing or difficulty breathing, Rapid breathing	","Supportive care (Fluids, Rest), Oxygen therapy (for severe cases), Ribavirin (in severe cases)"
"Cystic Fibrosis	","Genetic disorder causing thick, sticky mucus buildup in lungs and other organs	","Persistent cough with thick sputum, Wheezing, Shortness of breath, Recurrent lung infections (pneumonia), Poor growth or weight gain	","Airway clearance techniques (Chest physiotherapy, Percussion and vibration), Bronchodilators, Inhaled antibiotics, Mucolytics, Enzyme supplements"
"Huntington's Disease	","Inherited disorder causing progressive degeneration of nerve cells in the brain	","Involuntary jerking or writhing movements (chorea), Muscle problems (rigidity, slow movements), Cognitive decline, Behavioral changes, Difficulty swallowing	","Tetrabenazine, Antipsychotics (for behavioral symptoms), Antidepressants"
"Down Syndrome	","Genetic disorder causing developmental and intellectual delays	","Intellectual disability, Low muscle tone (hypotonia), Upward slanting eyes with small folds of skin at inner corners (epicanthal folds), Flat facial profile	","Early intervention programs, Educational support, Speech therapy, Occupational therapy"
